File,Class Name,Function Name,Description
gorilla_file_system.py,GorillaFileSystem,pwd,"Return the current working directory path.
Args:
    None
Returns:
    current_working_directory (str): The current working directory path."
gorilla_file_system.py,GorillaFileSystem,ls,"List the contents of the current directory.

Args:
    a (bool, optional): Show hidden files and directories. Defaults to False.

Returns:
    current_directory_content (list): A list of the contents of the specified directory."
gorilla_file_system.py,GorillaFileSystem,cd,"Change the current working directory to the specified folder.

Args:
    folder (str): The folder of the directory to change to. You can only change one folder at a time.

Returns:
    current_working_directory (str): The new current working directory path."
gorilla_file_system.py,GorillaFileSystem,mkdir,"Create a new directory in the current directory.

Args:
    dir_name (str): The name of the new directory at current directory. You can only create directory at current directory.

Returns:
    None or error (dict): None if successful, or error message if directory already exists."
gorilla_file_system.py,GorillaFileSystem,touch,"Create a new file in the current directory.

Args:
    file_name (str): The name of the new file in the current directory. file_name is local to the current directory and does not allow path.

Returns:
    None or error (dict): None if successful, or error message if file already exists."
gorilla_file_system.py,GorillaFileSystem,echo,"Write content to a file at current directory or display it in the terminal.

Args:
    content (str): The content to write or display.
    file_name (str, optional): The name of the file at current directory to write the content to. Defaults to None.

Returns:
    terminal_output (str): The content if no file name is provided, or None if written to file."
gorilla_file_system.py,GorillaFileSystem,cat,"Display the contents of a file from currrent directory.

Args:
    file_name (str): The name of the file from current directory to display. No path is allowed.

Returns:
    file_content (str): The content of the file."
gorilla_file_system.py,GorillaFileSystem,find,"Find any file or directories under specific path that contain name in its file name.

This method searches for files and directories within a specified path that match
the given name. If no name is provided, it returns all files and directories
in the specified path and its subdirectories.

Args:
    path (str): The directory path to start the search. Defaults to the current directory (""."").
    name (Optional[str]): The name of the file or directory to search for. If None, all items are returned.

Returns:
    Dict[str, List[str]]: A dictionary with a single key ""matches"" containing a list of
    matching file and directory paths relative to the given path.

Note:
    This method performs a recursive search through all subdirectories of the given path."
gorilla_file_system.py,GorillaFileSystem,wc,"Count the number of lines, words, and characters in a file from current directory.

Args:
    file_name (str): Name of the file of current directory to perform wc operation on.
    mode (str): Mode of operation ('l' for lines, 'w' for words, 'c' for characters).

Returns:
    dict: Dictionary containing line count, word count, and byte count."
gorilla_file_system.py,GorillaFileSystem,sort,"Sort the contents of a file line by line.

Args:
    file_name (str): The name of the file appeared at current directory to sort.

Returns:
    sorted_content (str): The sorted content of the file."
gorilla_file_system.py,GorillaFileSystem,grep,"Search for lines in a file at current directory that contain the specified pattern.

Args:
    file_name (str): The name of the file to search. No path is allowed and you can only perform on file at local directory.
    pattern (str): The pattern to search for.

Returns:
    matching_lines (list): Lines that match the pattern."
gorilla_file_system.py,GorillaFileSystem,xargs,"Execute a command with arguments read from a file or standard input.

Args:
    command (str): The command to execute with arguments.
    file_name (str, optional): The file containing arguments. Defaults to None.

Returns:
    output (str): The result of the command execution."
gorilla_file_system.py,GorillaFileSystem,du,"Estimate the disk usage of a directory and its contents.

Args:
    human_readable (bool): If True, returns the size in human-readable format (e.g., KB, MB).

Returns:
    disk_usage (str): The estimated disk usage."
gorilla_file_system.py,GorillaFileSystem,tail,"Display the last part of a file.

Args:
    file_name (str): The name of the file to display. No path is allowed and you can only perform on file at local directory.
    lines (int): The number of lines to display from the end of the file. Defaults to 10.

Returns:
    last_lines (str): The last part of the file."
gorilla_file_system.py,GorillaFileSystem,diff,"Compare two files line by line at the current directory.

Args:
    file_name1 (str): The name of the first file in current directory.
    file_name2 (str): The name of the second file in current directorry.

Returns:
    diff_lines (str): The differences between the two files."
gorilla_file_system.py,GorillaFileSystem,mv,"Move a file or directory from one location to another. so

Args:
    source (str): Source name of the file or directory to move. Source must be local to the current directory.
    destination (str): The destination name to move the file or directory to. Destination must be local to the current directory.

Returns:
    result (str): The result of the move operation."
gorilla_file_system.py,GorillaFileSystem,rm,"Remove a file or directory.

Args:
    file_name (str): The name of the file or directory to remove.

Returns:
    result (str): The result of the remove operation."
gorilla_file_system.py,GorillaFileSystem,rmdir,"Remove a directory at current directory.

Args:
    dir_name (str): The name of the directory to remove. Directory must be local to the current directory.

Returns:
    result (str): The result of the remove operation."
gorilla_file_system.py,GorillaFileSystem,cp,"Copy a file or directory from one location to another.

If the destination is a directory, the source file or directory will be copied 
into the destination directory.

Both source and destination must be local to the current directory.

Args:
    source (str): The name of the file or directory to copy.
    destination (str): The destination anem to copy the file or directory to.
                    If the destination is a directory, the source will be copied
                    into this directory.

Returns:
    result (str): The result of the copy operation or an error message if the operation fails."
math_api.py,MathAPI,logarithm,"Compute the logarithm of a number with adjustable precision using mpmath.

Args:
    value (float): The number to compute the logarithm of.
    base (float): The base of the logarithm.
    precision (int): Desired precision for the result.

Returns:
    result (Dict[str]): The logarithm of the number with respect to the given base, or an error message."
math_api.py,MathAPI,mean,"Calculate the mean of a list of numbers.

Args:
    numbers (List[float]): List of numbers to calculate the mean of.

Returns:
    result (float): Mean of the numbers."
math_api.py,MathAPI,standard_deviation,"Calculate the standard deviation of a list of numbers.

Args:
    numbers (List[float]): List of numbers to calculate the standard deviation of.

Returns:
    result (float): Standard deviation of the numbers."
math_api.py,MathAPI,si_unit_conversion,"Convert a value from one SI unit to another.

Args:
    value (float): Value to be converted.
    unit_in (str): Unit of the input value.
    unit_out (str): Unit to convert the value to.

Returns:
    result (float): Converted value in the new unit."
math_api.py,MathAPI,imperial_si_conversion,"Convert a value between imperial and SI units.

Args:
    value (float): Value to be converted.
    unit_in (str): Unit of the input value.
    unit_out (str): Unit to convert the value to.

Returns:
    result (float): Converted value in the new unit."
math_api.py,MathAPI,add,"Add two numbers.

Args:
    a (float): First number.
    b (float): Second number.

Returns:
    result (float): Sum of the two numbers."
math_api.py,MathAPI,subtract,"Subtract one number from another.

Args:
    a (float): Number to subtract from.
    b (float): Number to subtract.

Returns:
    result (float): Difference between the two numbers."
math_api.py,MathAPI,multiply,"Multiply two numbers.

Args:
    a (float): First number.
    b (float): Second number.

Returns:
    result (float): Product of the two numbers."
math_api.py,MathAPI,divide,"Divide one number by another.

Args:
    a (float): Numerator.
    b (float): Denominator.

Returns:
    result (float): Quotient of the division."
math_api.py,MathAPI,power,"Raise a number to a power.

Args:
    base (float): The base number.
    exponent (float): The exponent.

Returns:
    result (float): The base raised to the power of the exponent."
math_api.py,MathAPI,square_root,"Calculate the square root of a number with adjustable precision using the decimal module.

Args:
    number (float): The number to calculate the square root of.
    precision (int): Desired precision for the result.

Returns:
    result (Dict[str]): The square root of the number, or an error message."
math_api.py,MathAPI,absolute_value,"Calculate the absolute value of a number.

Args:
    number (float): The number to calculate the absolute value of.

Returns:
    result (float): The absolute value of the number."
math_api.py,MathAPI,round_number,"Round a number to a specified number of decimal places.

Args:
    number (float): The number to round.
    decimal_places (int): The number of decimal places to round to. Defaults to 0.

Returns:
    result (float): The rounded number."
math_api.py,MathAPI,percentage,"Calculate the percentage of a part relative to a whole.

Args:
    part (float): The part value.
    whole (float): The whole value.

Returns:
    result (float): The percentage of the part relative to the whole."
math_api.py,MathAPI,min_value,"Find the minimum value in a list of numbers.

Args:
    numbers (List[float]): List of numbers to find the minimum from.

Returns:
    result (float): The minimum value in the list."
math_api.py,MathAPI,max_value,"Find the maximum value in a list of numbers.

Args:
    numbers (List[float]): List of numbers to find the maximum from.

Returns:
    result (float): The maximum value in the list."
math_api.py,MathAPI,sum_values,"Calculate the sum of a list of numbers.

Args:
    numbers (List[float]): List of numbers to sum.

Returns:
    result (float): The sum of all numbers in the list."
message_api.py,MessageAPI,generate_id,No description provided.
message_api.py,MessageAPI,list_users,"List all users in the workspace.

Returns:
    user_list (List[str]): List of all users in the workspace."
message_api.py,MessageAPI,get_user_id,"Get user ID from user name.

Args:
    user (str): User name of the user.

Returns:
    user_id (Optional[str]): User ID of the user, or None if not found."
