File,Class Name,Function Name,Description
gorilla_file_system.py,GorillaFileSystem,pwd(),"Return the current working directory path.

Returns:

•        current_working_directory (str): The current working directory path

"
gorilla_file_system.py,GorillaFileSystem,ls(a: bool),"List the contents of the current directory.

Args:

• a (bool): Show hidden files and directories

Returns:

•        current_directory_content (list): A list of the contents of the specified directory

"
gorilla_file_system.py,GorillaFileSystem,cd(folder: str),"Change the current working directory to the specified folder.

Args:

• folder (str): The folder of the directory to change to

Returns:

•        current_working_directory (str): The new current working directory path

"
gorilla_file_system.py,GorillaFileSystem,mkdir(dir_name: str),"Create a new directory in the current directory.

Args:

• dir_name (str): The name of the new directory at current directory

Returns:

•        error (dict): None if successful, or error message if directory already exists

"
gorilla_file_system.py,GorillaFileSystem,touch(file_name: str),"Create a new file in the current directory.

Args:

• file_name (str): The name of the new file in the current directory

Returns:

•        error (dict): None if successful, or error message if file already exists

"
gorilla_file_system.py,GorillaFileSystem,"echo(content: str, file_name: str)","Write content to a file at current directory or display it in the terminal.

Args:

• content (str): The content to write or display

• file_name (str): The name of the file at current directory to write the content to

Returns:

•        terminal_output (str): The content if no file name is provided, or None if written to file

"
gorilla_file_system.py,GorillaFileSystem,cat(file_name: str),"Display the contents of a file from currrent directory.

Args:

• file_name (str): The name of the file from current directory to display

Returns:

•        file_content (str): The content of the file

"
gorilla_file_system.py,GorillaFileSystem,find(path: str),"Find any file or directories under specific path that contain name in its file name.This method searches for files and directories within a specified path that matchthe given name. If no name is provided, it returns all files and directoriesin the specified path and its subdirectories.

Args:

• path (str): The directory path to start the search

"
gorilla_file_system.py,GorillaFileSystem,"wc(file_name: str, mode: str)","Count the number of lines, words, and characters in a file from current directory.

Args:

• file_name (str): Name of the file of current directory to perform wc operation on

• mode (str): Mode of operation ('l' for lines, 'w' for words, 'c' for characters)

"
gorilla_file_system.py,GorillaFileSystem,sort(file_name: str),"Sort the contents of a file line by line.

Args:

• file_name (str): The name of the file appeared at current directory to sort

Returns:

•        sorted_content (str): The sorted content of the file

"
gorilla_file_system.py,GorillaFileSystem,"grep(file_name: str, pattern: str)","Search for lines in a file at current directory that contain the specified pattern.

Args:

• file_name (str): The name of the file to search

• pattern (str): The pattern to search for

Returns:

•        matching_lines (list): Lines that match the pattern

"
gorilla_file_system.py,GorillaFileSystem,"xargs(command: str, file_name: str)","Execute a command with arguments read from a file or standard input.

Args:

• command (str): The command to execute with arguments

• file_name (str): The file containing arguments

Returns:

•        output (str): The result of the command execution

"
gorilla_file_system.py,GorillaFileSystem,du(human_readable: bool),"Estimate the disk usage of a directory and its contents.

Args:

• human_readable (bool): If True, returns the size in human-readable format (e

Returns:

•        disk_usage (str): The estimated disk usage

"
gorilla_file_system.py,GorillaFileSystem,"tail(file_name: str, lines: int)","Display the last part of a file.

Args:

• file_name (str): The name of the file to display

• lines (int): The number of lines to display from the end of the file

Returns:

•        last_lines (str): The last part of the file

"
